Pilota,PosizionePartenzaMedia,PosizioneArrivoMedia,GainLoss,Affidabilita,PuntiGP,Incidenti,PolePosition,Podi,Vittorie,Top10,FuoriPunti,GiriVeloci,Velocita,Scuderia,PuntiScuderia,Esordio
Lewis Hamilton,2.8947368421052633,3.3421052631578947,-0.4473684210526314,0.10526315789473684,20.13157894736842,0,0.47368421052631576,0.3157894736842105,0.5526315789473685,0.8947368421052632,0.10526315789473684,0.39473684210526316,198.27239473684213,Mercedes,18.473684210526315,NO
Nico Rosberg,1.868421052631579,4.078947368421052,-2.2105263157894735,0.07894736842105263,16.81578947368421,0,0.47368421052631576,0.5,0.2894736842105263,0.868421052631579,0.10526315789473684,0.2631578947368421,198.73476315789475,Mercedes,18.473684210526315,NO
Fernando Alonso,10.972972972972974,10.891891891891891,0.08108108108108247,0.24324324324324326,4.648648648648648,0.02702702702702703,0,0.05405405405405406,0,0.5135135135135135,0.43243243243243246,0,179.8551891891892,McLaren,2.736842105263158,NO
Kimi Raikkonen,8.421052631578947,8.894736842105264,-0.4736842105263168,0.07894736842105263,5.394736842105263,0.07894736842105263,0,0.07894736842105263,0,0.7105263157894737,0.2631578947368421,0.07894736842105263,185.68992105263155,Ferrari,8.473684210526315,NO
Felipe Massa,7.447368421052632,9.263157894736842,-1.8157894736842106,0.07894736842105263,6.7105263157894735,0.10526315789473684,0.02631578947368421,0.13157894736842105,0,0.631578947368421,0.3157894736842105,0.02631578947368421,185.4170526315789,Williams,7.592105263157895,NO
Jenson Button,12.210526315789474,11,1.2105263157894743,0.21052631578947367,3.736842105263158,0.02631578947368421,0,0.02631578947368421,0,0.4473684210526316,0.5526315789473685,0,182.75347368421058,McLaren,2.736842105263158,NO
Sebastian Vettel,6.552631578947368,5.7368421052631575,0.8157894736842106,0.10526315789473684,11.710526315789474,0.02631578947368421,0.02631578947368421,0.3684210526315789,0.07894736842105263,0.868421052631579,0.10526315789473684,0.07894736842105263,196.26771052631577,Ferrari,8.473684210526315,NO
Romain Grosjean,12.605263157894736,12.947368421052632,-0.3421052631578956,0.21052631578947367,1.5526315789473684,0.10526315789473684,0,0.02631578947368421,0,0.3157894736842105,0.6052631578947368,0,176.12542105263162,Lotus F1,0.8,NO
Nico Hülkenberg,10.421052631578947,10.368421052631579,0.05263157894736814,0.10526315789473684,4.052631578947368,0.10526315789473684,0,0,0,0.631578947368421,0.3684210526315789,0,183.96686842105265,Aston Martin,3.8289473684210527,NO
Pastor Maldonado,14.763157894736842,14.736842105263158,0.02631578947368496,0.23684210526315788,0.7631578947368421,0.13157894736842105,0,0,0,0.18421052631578946,0.7368421052631579,0,157.28176315789472,Lotus F1,0.8,NO
Sergio Perez,11.157894736842104,10.131578947368421,1.0263157894736832,0.02631578947368421,3.6052631578947367,0.10526315789473684,0,0.05263157894736842,0,0.631578947368421,0.3157894736842105,0.02631578947368421,182.23302631578943,Aston Martin,3.8289473684210527,NO
Daniel Ricciardo,7.184210526315789,7.631578947368421,-0.44736842105263186,0.13157894736842105,8.68421052631579,0,0,0.18421052631578946,0.07894736842105263,0.7631578947368421,0.21052631578947367,0.10526315789473684,191.59297368421053,Red Bull,7.7894736842105265,NO
Valtteri Bottas,6.131578947368421,7.052631578947368,-0.9210526315789469,0.07894736842105263,8.473684210526315,0.02631578947368421,0,0.21052631578947367,0,0.7894736842105263,0.21052631578947367,0.02631578947368421,190.01994736842107,Williams,7.592105263157895,NO
Kevin Magnussen,9.2,10.2,-1,0.05,2.75,0,0,0.05,0,0.6,0.4,0,185.86935,McLaren,2.736842105263158,NO
Daniil Kvyat,10.421052631578947,11.236842105263158,-0.8157894736842106,0.13157894736842105,2.710526315789474,0.02631578947368421,0,0.02631578947368421,0,0.5,0.47368421052631576,0,185.0682368421053,Red Bull,7.7894736842105265,NO
Marcus Ericsson,16.82857142857143,15.257142857142858,1.5714285714285712,0.4,0.2571428571428571,0.08571428571428572,0,0,0,0.14285714285714285,0.8285714285714286,0,185.5833428571429,Alfa Romeo,0.47368421052631576,NO
Will Stevens,16.789473684210527,16.63157894736842,0.1578947368421062,0.5263157894736842,0,0,0,0,0,0,1,0,159.52984210526316,Marussia,0.029850746268656716,NO
Esordiente,11.157894736842104,10.131578947368421,1.0263157894736832,0.02631578947368421,0.7631578947368421,0.10526315789473684,0.02631578947368421,0.05263157894736842,0.07894736842105263,0.18421052631578946,0.3157894736842105,0.02631578947368421,182.23302631578943,AlphaTauri,0,SI
Esordiente,11.368421052631579,11.157894736842104,0.21052631578947434,0.15789473684210525,2.5789473684210527,0.10526315789473684,0,0,0,0.5263157894736842,0.47368421052631576,0,193.38994736842105,AlphaTauri,1.2763157894736843,NO
Esordiente,13.894736842105264,12.105263157894736,1.7894736842105274,0.21052631578947367,1.4210526315789473,0,0,0,0,0.3157894736842105,0.6842105263157895,0,184.70715789473684,Alfa Romeo,0.47368421052631576,NO
Esordiente,11.31578947368421,12.631578947368421,-1.3157894736842106,0.3684210526315789,0.9473684210526315,0,0,0,0,0.3684210526315789,0.631578947368421,0,185.70031578947368,AlphaTauri,1.2763157894736843,NO
Esordiente,18.23076923076923,15.692307692307692,2.5384615384615383,0.38461538461538464,0,0,0,0,0,0,1,0,191.604,Marussia,0.029850746268656716,NO
Esordiente,17.8,15.4,2.4000000000000004,0.6,0,0,0,0,0,0,1,0,185.44400000000002,Marussia,0.029850746268656716,NO
Esteban Gutiérrez,15.68421052631579,16,-0.3157894736842106,0.3157894736842105,0,0.15789473684210525,0,0,0,0,1,0,193.3962105263158,Haas F1 Team,NaN,NO
Esordiente,2.8947368421052633,3.3421052631578947,-0.4473684210526314,0.10526315789473684,20.13157894736842,0.02702702702702703,0.47368421052631576,0.3157894736842105,0.5526315789473685,0.8947368421052632,0.10526315789473684,0.39473684210526316,198.27239473684213,Alpine F1 Team,NaN,SI
Esordiente,2.8947368421052633,3.3421052631578947,-0.4473684210526314,0.10526315789473684,16.81578947368421,0.07894736842105263,0.47368421052631576,0.5,0.5526315789473685,0.868421052631579,0.10526315789473684,0.39473684210526316,198.27239473684213,Marussia,0,SI
Esordiente,1.868421052631579,4.078947368421052,-2.2105263157894735,0.07894736842105263,16.81578947368421,0.07894736842105263,0.47368421052631576,0.5,0.2894736842105263,0.868421052631579,0.10526315789473684,0.2631578947368421,198.73476315789475,Marussia,0,SI
Esordiente,1.868421052631579,4.078947368421052,-2.2105263157894735,0.07894736842105263,4.648648648648648,0.07894736842105263,0.47368421052631576,0.05405405405405406,0.2894736842105263,0.5135135135135135,0.10526315789473684,0.2631578947368421,198.73476315789475,McLaren,0,SI
Esordiente,1.868421052631579,4.078947368421052,-2.2105263157894735,0.07894736842105263,4.648648648648648,0.07894736842105263,0.47368421052631576,0.05405405405405406,0.2894736842105263,0.5135135135135135,0.10526315789473684,0.2631578947368421,198.73476315789475,Marussia,0,SI
